,Term,Spotify_SFA,Spotify_Creator Promotion,Scribd,QDT,Zignal,WGU,Afterpay,Lumen,Kin + Carta,HashiCorp,Talentify,Trellance,Upgrade,Sprouts,Pngme,Posh,SigFig,GGWP,NExTNet,Dashworks,Alectio,TOTALS
36,AI,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,6
37,insight,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,6
38,research,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,5
39,DL,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,5
40,classification,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,5
41,predictive analytics,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,5
42,degree,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,5
43,data-driven-decision-making,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5
44,storytelling,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5
45,PyTorch,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,5
46,NLP,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,5
47,data: integrity,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,5
48,Bachelor's,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,5
49,diversity,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,5
50,inclusive,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,5
51,driven,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,5
52,communication: oral,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,4
53,data: unstructured,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,4
54,creative,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,4
55,dashboards,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,4
56,Big Data,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,4
57,AWS,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,4
58,end-to-end,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,4
59,data: feature extraction,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,4
