Term,Spotify_SFA,Spotify_Creator Promotion,Scribd,QDT,Zignal,WGU,Afterpay,Lumen,Kin + Carta,HashiCorp,Talentify,Trellance,Upgrade,Sprouts,Pngme,Posh,SigFig,GGWP,NExTNet,Dashworks,Alectio,TOTALS,Notes
interested,,,,,,,,,,,,,,,,checked,,,checked,,,2,
testing,,,,,,,,,,,checked,,,,,,,,checked,,,2,
cross-functional,,,,,,,,checked,,,,,,,,,,,checked,,,2,
comfortable,,,,,,,,,,,,,,,,,,,checked,checked,,2,
Keras,,,,,,,,,,checked,,,,,,,,,,,checked,2,
frequentist,,,checked,,,,,,,,,,,,,,,,,,,1,
intentional,,,checked,,,,,,,,,,,,,,,,,,,1,
full-stack,,,checked,,,,,,,,,,,,,,,,,,,1,
data: multi-modal,,,checked,,,,,,,,,,,,,,,,,,,1,
data: meta,,,checked,,,,,,,,,,,,,,,,,,,1,
BigQuery,,checked,,,,,,,,,,,,,,,,,,,,1,
metrics,,checked,,,,,,,,,,,,,,,,,,,,1,
diverse experience,checked,,,,,,,,,,,,,,,,,,,,,1,
forward-thinking,checked,,,,,,,,,,,,,,,,,,,,,1,
rigor,,checked,,,,,,,,,,,,,,,,,,,,1,
coach,,checked,,,,,,,,,,,,,,,,,,,,1,
reading,,,checked,,,,,,,,,,,,,,,,,,,1,
Cassandra,,,,checked,,,,,,,,,,,,,,,,,,1,
optimized signal aggregation,,,,checked,,,,,,,,,,,,,,,,,,1,
opportunistic,,,,checked,,,,,,,,,,,,,,,,,,1,
trading strategy,,,,checked,,,,,,,,,,,,,,,,,,1,
focused,,,,checked,,,,,,,,,,,,,,,,,,1,
specialization,,,,checked,,,,,,,,,,,,,,,,,,1,
resourceful,,,,checked,,,,,,,,,,,,,,,,,,1,
Plotly,,,,checked,,,,,,,,,,,,,,,,,,1,
NLP: extracted text,,,,checked,,,,,,,,,,,,,,,,,,1,
8+ years Q,,,,,checked,,,,,,,,,,,,,,,,,1,
named entity recognition,,,,,checked,,,,,,,,,,,,,,,,,1,
transparent,,,,,checked,,,,,,,,,,,,,,,,,1,
data: algorithms,,,,,checked,,,,,,,,,,,,,,,,,1,
NLP: emotion analysis,,,,,checked,,,,,,,,,,,,,,,,,1,
NLP: parsing,,,,,checked,,,,,,,,,,,,,,,,,1,
NLP: shallow parsing,,,,,checked,,,,,,,,,,,,,,,,,1,
SageMaker,,,,,checked,,,,,,,,,,,,,,,,,1,
nice,,,,,checked,,,,,,,,,,,,,,,,,1,
ground tuth,,,,,checked,,,,,,,,,,,,,,,,,1,
Elasticsearch,,,,,checked,,,,,,,,,,,,,,,,,1,
model: eval,,,,,checked,,,,,,,,,,,,,,,,,1,
PythonSpark,,,,,checked,,,,,,,,,,,,,,,,,1,
Neo4j,,,,,checked,,,,,,,,,,,,,,,,,1,
media,,,,,checked,,,,,,,,,,,,,,,,,1,
NLP: sentiment analysis,,,,,checked,,,,,,,,,,,,,,,,,1,
constituency,,,,,checked,,,,,,,,,,,,,,,,,1,
dependency,,,,,checked,,,,,,,,,,,,,,,,,1,
learning analytics,,,,,,checked,,,,,,,,,,,,,,,,1,
charts,,,,,,checked,,,,,,,,,,,,,,,,1,
nights/weekends,,,,,,checked,,,,,,,,,,,,,,,,1,
interpersonal,,,,,,checked,,,,,,,,,,,,,,,,1,
 data: educational,,,,,,checked,,,,,,,,,,,,,,,,1,
data: transformation,,,,,,checked,,,,,,,,,,,,,,,,1,
multi-task,,,,,,checked,,,,,,,,,,,,,,,,1,
identify,,,,,,checked,,,,,,,,,,,,,,,,1,
learning science,,,,,,checked,,,,,,,,,,,,,,,,1,
performance metrics,,,,,,checked,,,,,,,,,,,,,,,,1,
better future,,,,,,checked,,,,,,,,,,,,,,,,1,
Bi-lingual,,,,,,checked,,,,,,,,,,,,,,,,1,
data: availability,,,,,,checked,,,,,,,,,,,,,,,,1,
student-focused,,,,,,checked,,,,,,,,,,,,,,,,1,
psychology,,,,,,checked,,,,,,,,,,,,,,,,1,
tables,,,,,,checked,,,,,,,,,,,,,,,,1,
business value,,,,,,checked,,,,,,,,,,,,,,,,1,
5+ years: IT consult,,,,,,,checked,,,,,,,,,,,,,,,1,
high technical bar,,,,,,,checked,,,,,,,,,,,,,,,1,
support growth,,,,,,,checked,,,,,,,,,,,,,,,1,
product: features,,,,,,,checked,,,,,,,,,,,,,,,1,
business performance,,,,,,,checked,,,,,,,,,,,,,,,1,
responsible,,,,,,,checked,,,,,,,,,,,,,,,1,
Looker,,,,,,,checked,,,,,,,,,,,,,,,1,
A/ B testing,,,,,,,checked,,,,,,,,,,,,,,,1,
Snowflake,,,,,,,checked,,,,,,,,,,,,,,,1,
Sumo Logic,,,,,,,checked,,,,,,,,,,,,,,,1,
 business strategy,,,,,,,checked,,,,,,,,,,,,,,,1,
troubleshooting,,,,,,,checked,,,,,,,,,,,,,,,1,
pragmatic,,,,,,,checked,,,,,,,,,,,,,,,1,
fair,,,,,,,checked,,,,,,,,,,,,,,,1,
datamarts,,,,,,,checked,,,,,,,,,,,,,,,1,
Amplitude,,,,,,,checked,,,,,,,,,,,,,,,1,
scaling,,,,,,,checked,,,,,,,,,,,,,,,1,
operations,,,,,,,checked,,,,,,,,,,,,,,,1,
data: reports,,,,,,,checked,,,,,,,,,,,,,,,1,
GTM,,,,,,,checked,,,,,,,,,,,,,,,1,
Assist,,,,,,,checked,,,,,,,,,,,,,,,1,
RCA,,,,,,,checked,,,,,,,,,,,,,,,1,
debugging,,,,,,,,checked,,,,,,,,,,,,,,1,
energy technologies,,,,,,,,checked,,,,,,,,,,,,,,1,
geospatial data,,,,,,,,checked,,,,,,,,,,,,,,1,
GIS,,,,,,,,checked,,,,,,,,,,,,,,1,
models: pricing,,,,,,,,checked,,,,,,,,,,,,,,1,
"customer: usage
",,,,,,,,checked,,,,,,,,,,,,,,1,
customer: cost,,,,,,,,checked,,,,,,,,,,,,,,1,
risks,,,,,,,,,checked,,,,,,,,,,,,,1,
Pig,,,,,,,,,checked,,,,,,,,,,,,,1,
Architecting,,,,,,,,,checked,,,,,,,,,,,,,1,
Impala,,,,,,,,,checked,,,,,,,,,,,,,1,
modernize,,,,,,,,,checked,,,,,,,,,,,,,1,
GraphQL,,,,,,,,,checked,,,,,,,,,,,,,1,
data: organization,,,,,,,,,checked,,,,,,,,,,,,,1,
data: multi-dimensional,,,,,,,,,checked,,,,,,,,,,,,,1,
APIs,,,,,,,,,checked,,,,,,,,,,,,,1,
HTML,,,,,,,,,checked,,,,,,,,,,,,,1,
contribute,,,,,,,,,checked,,,,,,,,,,,,,1,
world-changing,,,,,,,,,checked,,,,,,,,,,,,,1,
UNIX,,,,,,,,,checked,,,,,,,,,,,,,1,
React,,,,,,,,,checked,,,,,,,,,,,,,1,
Luigi,,,,,,,,,checked,,,,,,,,,,,,,1,
Azure,,,,,,,,,checked,,,,,,,,,,,,,1,
connections,,,,,,,,,checked,,,,,,,,,,,,,1,
ggplot2,,,,,,,,,checked,,,,,,,,,,,,,1,
specialism,,,,,,,,,checked,,,,,,,,,,,,,1,
Vue,,,,,,,,,checked,,,,,,,,,,,,,1,
matplotlib,,,,,,,,,checked,,,,,,,,,,,,,1,
Airflow,,,,,,,,,checked,,,,,,,,,,,,,1,
awareness,,,,,,,,,checked,,,,,,,,,,,,,1,
Javascript,,,,,,,,,checked,,,,,,,,,,,,,1,
PowerBI,,,,,,,,,checked,,,,,,,,,,,,,1,
Prefect,,,,,,,,,checked,,,,,,,,,,,,,1,
seaborn,,,,,,,,,checked,,,,,,,,,,,,,1,
KPIs,,,,,,,,,checked,,,,,,,,,,,,,1,
builders,,,,,,,,,checked,,,,,,,,,,,,,1,
business decisions,,,,,,,,,checked,,,,,,,,,,,,,1,
timelines,,,,,,,,,checked,,,,,,,,,,,,,1,
dependences,,,,,,,,,checked,,,,,,,,,,,,,1,
tracking,,,,,,,,,checked,,,,,,,,,,,,,1,
AngularJS,,,,,,,,,checked,,,,,,,,,,,,,1,
Equity,,,,,,,,,checked,,,,,,,,,,,,,1,
bokeh,,,,,,,,,checked,,,,,,,,,,,,,1,
ARIMA,,,,,,,,,,checked,,,,,,,,,,,,1,
GBM,,,,,,,,,,checked,,,,,,,,,,,,1,
Partnership Ecosystem,,,,,,,,,,checked,,,,,,,,,,,,1,
data: foundations,,,,,,,,,,checked,,,,,,,,,,,,1,
timely actions,,,,,,,,,,checked,,,,,,,,,,,,1,
LSTM,,,,,,,,,,checked,,,,,,,,,,,,1,
DL: hyper-parameter tuning,,,,,,,,,,checked,,,,,,,,,,,,1,
Sales,,,,,,,,,,checked,,,,,,,,,,,,1,
supervised learning,,,,,,,,,,checked,,,,,,,,,,,,1,
Markov,,,,,,,,,,checked,,,,,,,,,,,,1,
consumption-based,,,,,,,,,,checked,,,,,,,,,,,,1,
bookings,,,,,,,,,,checked,,,,,,,,,,,,1,
reduction,,,,,,,,,,checked,,,,,,,,,,,,1,
 customer insights,,,,,,,,,,checked,,,,,,,,,,,,1,
" monte carlo
",,,,,,,,,,checked,,,,,,,,,,,,1,
RNN,,,,,,,,,,checked,,,,,,,,,,,,1,
data: dimensionality,,,,,,,,,,checked,,,,,,,,,,,,1,
association mining,,,,,,,,,,checked,,,,,,,,,,,,1,
Univariate analysis,,,,,,,,,,checked,,,,,,,,,,,,1,
customer: acquisition,,,,,,,,,,checked,,,,,,,,,,,,1,
conversion,,,,,,,,,,checked,,,,,,,,,,,,1,
generation-defining,,,,,,,,,,checked,,,,,,,,,,,,1,
unsupervised learning,,,,,,,,,,checked,,,,,,,,,,,,1,
techniques,,,,,,,,,,checked,,,,,,,,,,,,1,
market intelligence,,,,,,,,,,,checked,,,,,,,,,,,1,
calculation efficiency,,,,,,,,,,,checked,,,,,,,,,,,1,
data: adjusting ,,,,,,,,,,,checked,,,,,,,,,,,1,
Ruby,,,,,,,,,,,checked,,,,,,,,,,,1,
MongoDB,,,,,,,,,,,checked,,,,,,,,,,,1,
4+ years Q,,,,,,,,,,,,checked,,,,,,,,,,1,
statistical,,,,,,,,,,,,checked,,,,,,,,,,1,
Weka,,,,,,,,,,,,checked,,,,,,,,,,1,
BA,,,,,,,,,,,,checked,,,,,,,,,,1,
manage risk,,,,,,,,,,,,checked,,,,,,,,,,1,
Excel,,,,,,,,,,,,checked,,,,,,,,,,1,
efficiency,,,,,,,,,,,,checked,,,,,,,,,,1,
member experience,,,,,,,,,,,,checked,,,,,,,,,,1,
consumer,,,,,,,,,,,,checked,,,,,,,,,,1,
Decision Forests,,,,,,,,,,,,checked,,,,,,,,,,1,
MatLab,,,,,,,,,,,,checked,,,,,,,,,,1,
models: improvement,,,,,,,,,,,,checked,,,,,,,,,,1,
PowerPoint,,,,,,,,,,,,checked,,,,,,,,,,1,
anomaly detection,,,,,,,,,,,,checked,,,,,,,,,,1,
retail banking,,,,,,,,,,,,checked,,,,,,,,,,1,
KNN,,,,,,,,,,,,checked,,,,,,,,,,1,
SVM,,,,,,,,,,,,checked,,,,,,,,,,1,
BS,,,,,,,,,,,,checked,,,,,,,,,,1,
metric accuracy,,,,,,,,,,,,checked,,,,,,,,,,1,
union banking,,,,,,,,,,,,checked,,,,,,,,,,1,
technical topics,,,,,,,,,,,,,checked,,,,,,,,,1,
operations,,,,,,,,,,,,,checked,,,,,,,,,1,
credit risk,,,,,,,,,,,,,checked,,,,,,,,,1,
Recently graduated,,,,,,,,,,,,,checked,,,,,,,,,1,
proactive,,,,,,,,,,,,,checked,,,,,,,,,1,
write: documentation,,,,,,,,,,,,,checked,,,,,,,,,1,
Marketing,,,,,,,,,,,,,checked,,,,,,,,,1,
Actively research,,,,,,,,,,,,,checked,,,,,,,,,1,
fraud,,,,,,,,,,,,,checked,,,,,,,,,1,
Gradient Boosted Trees,,,,,,,,,,,,,checked,,,,,,,,,1,
odeling,,,,,,,,,,,,,checked,,,,,,,,,1,
Financial Times,,,,,,,,,,,,,checked,,,,,,,,,1,
platforms,,,,,,,,,,,,,,checked,,,,,,,,1,
C++,,,,,,,,,,,,,,checked,,,,,,,,1,
confidence intervals,,,,,,,,,,,,,,checked,,,,,,,,1,
model serving,,,,,,,,,,,,,,checked,,,,,,,,1,
C,,,,,,,,,,,,,,checked,,,,,,,,1,
